//*[==========================================================================]
//* MU Online - EvilDemon - 2025                                                                                       
//*[==========================================================================]

0
//====================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   SetAttr   DW   DK   FE   MG   DL   SU   RF
//====================================================================================================================================================================================================================================================================================================================================================
43       2      0       2       2        1            1            1          "Storm Blitz Helm"                   110     43        0              75           380        56            20             0           0             0               0      0       0       0       0       0       2       0
44       2      0       2       2        1            1            1          "Eternal Helm"                   	   110     43        0              75           379        56            20             0           0             0               0      0       0       0       0       0       2       0
45       2      0       2       2        1            1            1          "Titan Helm"                         111     63        0              86           379        222           32             0           0             0               0      0       1       0       0       0       0       0
46       2      0       2       2        1            1            1          "Brave Helm"                         107     51        0              86           379        74            162            0           0             0               0      0       1       0       0       0       0       0
49       2      0       2       2        1            1            1          "Seraphim Helm"                      111     50        0              86           379        55            197            0           0             0               0      0       0       1       0       0       0       0
50       2      0       2       2        1            1            1          "faith Helm"                         104     44        0              86           379        32            29             138         0             0               0      0       0       1       0       0       0       0
51       2      0       2       2        1            1            1          "Royal Mask"                         111     44        0              86           379        105           38             0           0             0               0      0       0       0       0       1       0       0
52       2      0       2       2        1            1            1          "Hades Helm"                         109     41        0              86           379        60            15             181         0             0               0      1       0       0       0       0       0       0
53	     2	    0	    2	    2		 1	     	  1	           1	      "Queen Helm"			   			   111	   80	     0	            86	         0	        57	          15	         182	     0	           0	           0	  0	  	  0	  	  0	 	  0	  	  0	  	  2	      0
59       2      0       2       2        1            1            1          "Sacred Helm"                        54      24        0              52           0          85            0              0           75            0               0      0       0       0       0       0       0       1
60       2      0       2       2        1            1            1          "Storm Hard Helm"                    70      32        0              68           0          100           0              0           90            0               0      0       0       0       0       0       0       1
61       2      0       2       2        1            1            1          "Piercing Helm"                      90      45        0              82           0          115           0              0           100           0               0      0       0       0       0       0       0       1
62	     2	    0	    2	    2	     0	          0	           0	      "Lucky Scale Helm"	           	   26	   16	     0	            255	         1	        0	          0	             0	          0	           0	           0	  0	      1	      0	      0	      1	      0	      1	
63	     2	    0	    2	    2	     0	          0	           0	      "Lucky Silk Helm"	                   16	   11	     0	            255	         1	        0	          0	             0	          0	           0	           0	  0	      0	      1	      0	      0	      0	      0	
64	     2	    0	    2	    2	     0	          0	           0	      "Lucky Sphinx Helm"	          	   32	   17	     0	            255	         1	        0	          0	             0	          0	           0	           0	  1	      0	      0	      0	      0	      0	      0	
65	     2	    0	    2	    2	     0	          0	           0	      "Lucky Violent Wind Helm"	           28	   17	     0	            255	         1	        0	          0	             0	          0	           0	           0	  0	      0	      0	      0	      0	      1	      0	
66	     2	    0	    2	    2	     0	          0	           0	      "Lucky Dark Soul Helm"	           66	   29	     0	            255	         150	    0	          0	             0	          0	           0	           0	  0	      0	      0	      0	      1	      0	      0	
67	     2	    0	    2	    2	     0	          0	           0	      "Lucky Dragon Helm"	               57	   29	     0	            255	         150	    0	          0	             0	          0	           0	           0	  0	      1	      0	      0	      0	      0	      0	
68	     2	    0	    2	    2	     0	          0	           0	      "Lucky Guardian Helm"	               53	   28	     0	            255	         150	    0	          0	             0	          0	           0	           0	  0	      0	      1	      0	      0	      0	      0	
69	     2	    0	    2	    2	     0	          0	           0	      "Lucky Legendary Helm"	           50	   23	     0	            255	         150	    0	          0	             0	          0	           0	           0	  1	      0	      0	      0	      0	      0	      0	
70	     2	    0	    2	    2	     0	          0	           0	      "Lucky Red Wing Helm"	               50	   20	     0	            255	         150	    0	          0	             0	          0	           0	           0	  0	      0	      0	      0	      0	      1	      0	
72	     2	    0	    2	    2	     0	          0	           0	      "Lucky Storm Hard Helm"	           70	   32	     0	            255	         150	    0	          0	             0	          0	           0	           0	  0	      0	      0	      0	      0	      0	      1	
73	     2	    0	    2	    2	     1	          1	           1	      "Phoenix Soul Helm"	               128	   60	     0	            88	         380	    97	          0	             0	          85	       0	           0	  0	      0	      0	      0	      0	      0	      1	
//============================================================================================================================================================================================================================================================================================================================================================
//																Customs Items MuOnline (Ex700 a S.16 -Oficiales)
//============================================================================================================================================================================================================================================================================================================================================================
//============================================================================================================================================================================================================================================================================================================================================================
//Sets ex700
//============================================================================================================================================================================================================================================================================================================================================================
89		 2      0       2       2        1            1            1          "Lazy Wind Helm"                     143     68        0              90           379        67            151            0           0             0               0      0       3       0       0       0       0       0
90       2      0       2       2        1            1            1          "Dark Devil Helm"                    143     50        0              90           379        45            13             171         0             0               0      3       0       0       0       0       0       0  
91       2      0       2       2        1            1            1          "Stormwing Helm"                     143     72        0              90           379        200           33             0           0             0               0      0       3       0       0       0       0       0  
92       2      0       2       2        1            1            1          "Sticky Helm"                        143     59        0              90           379        48            180            0           0             0               0      0       0       3       0       0       0       0  
94       2      0       2       2        1            1            1          "Ambition Mask"                      143     53        0              90           379        112           22             0           0             0               0      0       0       0       0       3       0       0  
95       2      0       2       2        1            1            1          "Succubus Helm"                      143     44        0              90           379        56            19             157         0             0               0      0       0       0       0       0       3       0 
96	     2	    0	    2	    2	     1	          1	           1	      "BloodyDragon Helm"				   148	   63	     0	            86			 379		222			  32			 0			 0			   0			   0	  0		  0		  0		  0		  0	 	  0 	  3
97       2      0       2       2        1            1            1          "Light Lord Helmet"                  143     53        0              90           379        14            31             127         0             0               0      0       0       3       0       0       0       0 
//============================================================================================================================================================================================================================================================================================================================================================
//Sets RF S12
//============================================================================================================================================================================================================================================================================================================================================================
98       2      0       2       2        1            1            1          "Tigris Helm"                        111     41        0              86           379        66            18             0           0             0               0      0       0       0       0       0       0       1
99       2      0       2       2        1            1            1          "Crimson Skull Helm"                 143     52        0              90           379        76            23             0           0             0               0      0       0       0       0       0       0       1
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Blood Angel
//============================================================================================================================================================================================================================================================================================================================================================
100      2      0       2       2        1            1            0          "Bloodangel Wizard Helm"             150     46        0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0
101      2      0       2       2        1            1            0          "Bloodangel Knight Helm"             150     63        0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0
102      2      0       2       2        1            1            0          "Bloodangel Elf Helm"                150     56        0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0
104      2      0       2       2        1            1            0          "Bloodangel Lord Helm"               150     44        0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0
105      2      0       2       2        1            1            0          "Bloodangel Summoner Helm"           150     42        0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0
106      2      0       2       2        1            1            0          "Bloodangel Fighter Helm"            150     42        0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Dark Angel
//============================================================================================================================================================================================================================================================================================================================================================
107     2      0       2       2        1            1             0          "Darkangel Wizard Helm"              150     71        0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0  
108     2      0       2       2        1            1             0          "Darkangel Knight Helm"              150     88        0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0  
109     2      0       2       2        1            1             0          "Darkangel Elf Helm"                 150     81        0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0  
111     2      0       2       2        1            1             0          "Darkangel Lord Helm"                150     69        0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0  
112     2      0       2       2        1            1             0          "Darkangel Summoner Helm"            150     67        0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0  
113     2      0       2       2        1            1             0          "Darkangel Fighter Helm"             150     67        0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3  
//============================================================================================================================================================================================================================================================================================================================================================
//Sets HolyAngel
//============================================================================================================================================================================================================================================================================================================================================================
114      2      0       2       2        1            1            0          "Holyangel Wizard Helm"              150     121       0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0
115      2      0       2       2        1            1            0          "Holyangel Knight Helm"              150     138       0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0
116      2      0       2       2        1            1            0          "Holyangel Elf Helm"             	   150     131       0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0
117      2      0       2       2        1            1            0          "Holyangel Lord Helm"                150     119       0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0
118      2      0       2       2        1            1            0          "Holyangel Summoner Helm"            150     117       0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0
119      2      0       2       2        1            1            0          "Holyangel Fighter Helm"             150     117       0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Awakening
//============================================================================================================================================================================================================================================================================================================================================================
121      2      0       2       2        1            1            0          "Awakening Soul Wizard Helm"         150     164       0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0
122      2      0       2       2        1            1            0          "Awakening Soul Knight Helm"         150     183       0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0
123      2      0       2       2        1            1            0          "Awakening Soul Elf Helm"        	   150     178       0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0
125      2      0       2       2        1            1            0          "Awakening Soul Lord Helm"           150     162       0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0
126      2      0       2       2        1            1            0          "Awakening Soul Summoner Helm"       150     166       0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0
127      2      0       2       2        1            1            0          "Awakening Soul Fighter Helm"        150     160       0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets BlueEye
//============================================================================================================================================================================================================================================================================================================================================================
128      2      0       2       2        1            1            0          "Blue Eye Wizard Helm"               150     209       0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0
129      2      0       2       2        1            1            0          "Blue Eye Knight Helm"               150     228       0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0
130      2      0       2       2        1            1            0          "Blue Eye Elf Helm"             	   150     223       0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0
132      2      0       2       2        1            1            0          "Blue Eye Lord Helm"                 150     207       0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0
133      2      0       2       2        1            1            0          "Blue Eye Summoner Helm"             150     211       0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0
134      2      0       2       2        1            1            0          "Blue Eye Fighter Helm"              150     205       0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Blood Angel
//============================================================================================================================================================================================================================================================================================================================================================
135      2      0       2       2        1            1            0          "Silver Heart Wizard Helm"           150     254       0              100          379        42            14             0           0             0               0      3       0       0       0       0       0       0
136      2      0       2       2        1            1            0          "Silverheart Knight Helm"            150     273       0              100          379        145           42             0           0             0               0      0       3       0       0       0       0       0
137      2      0       2       2        1            1            0          "Silverheart Elf Helm"               150     268       0              100          379        34            75             0           0             0               0      0       0       3       0       0       0       0
139      2      0       2       2        1            1            0          "Silverheart Lord Helm"              150     252       0              100          379        59            15             0           0             0               0      0       0       0       0       3       0       0
140      2      0       2       2        1            1            0          "Silverheart Summoner Helm"          150     256       0              100          379        34            11             0           0             0               0      0       0       0       0       0       3       0
141      2      0       2       2        1            1            0          "Silverheart Fighter Helm"           150     250       0              100          379        71            0              0           0             0               0      0       0       0       0       0       0       3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Mantiacore
//============================================================================================================================================================================================================================================================================================================================================================
142	     2	    0	    2	    2	     1	          1	           0	      "Manticore Wizard Helm"		       150	   299	     0	            100          379	    42			  14			 0			 0			   0	 		   0	  3		  0		  0		  0		  0		  0		  0
143	     2	    0	    2	    2	     1	          1	           0	      "Manticore Knight Helm"		       150	   318	     0	            100          379	    145			  42			 0			 0			   0	 		   0	  0		  3		  0		  0		  0		  0		  0
144	     2	    0	    2	    2	     1	          1	           0	      "Manticore Elf Helm"			       150	   313	     0	            100          379	    34			  75			 0			 0			   0	 		   0	  0		  0		  3		  0		  0		  0		  0
146	     2	    0	    2	    2	     1	          1	           0	      "Manticore Lord Helm"		      	   150	   297	     0	            100          379	    59			  15			 0			 0			   0	 		   0	  0		  0		  0		  0		  3		  0		  0
147	     2	    0	    2	    2	     1	          1	           0	      "Manticore Summon Helm"		       150	   301	     0	            100          379	    34			  11			 0			 0			   0	 		   0	  0		  0		  0		  0		  0		  3		  0
148	     2	    0	    2	    2	     1	          1	           0	      "Manticore Fighter Helm"		       150	   295	     0	            100          379	    71			  0			     0			 0			   0	 		   0	  0		  0		  0		  0		  0		  0		  3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Brilliant
//============================================================================================================================================================================================================================================================================================================================================================
149	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Wizard Helm"		       150	   419	     0	            100          379	    42			  14			 0			 0			   0	 		   0	  3		  0		  0		  0		  0		  0		  0
150	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Knight Helm"		       150	   441	     0	            100          379	    145			  42			 0			 0			   0	 		   0	  0		  3		  0		  0		  0		  0		  0
151	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Elf Helm"			       150	   435	     0	            100          379	    34			  75			 0			 0			   0	 		   0	  0		  0		  3		  0		  0		  0		  0
153	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Lord Helm"		      	   150	   417	     0	            100          379	    59			  15			 0			 0			   0	 		   0	  0		  0		  0		  0		  3		  0		  0
154	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Summon Helm"		       150	   421	     0	            100          379	    34			  11			 0			 0			   0	 		   0	  0		  0		  0		  0		  0		  3		  0
155	     2	    0	    2	    2	     1	          1	           0	      "Brilliant Fighter Helm"		       150	   415	     0	            100          379	    71			  0			     0			 0			   0	 		   0	  0		  0		  0		  0		  0		  0		  3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Apocalypse
//============================================================================================================================================================================================================================================================================================================================================================
156	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Wizard Helm"		       150	   419	     0	            100          379	    42			  14			 0			 0			   0	 		   0	  3		  0		  0		  0		  0		  0		  0
157	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Knight Helm"		       150	   441	     0	            100          379	    145			  42			 0			 0			   0	 		   0	  0		  3		  0		  0		  0		  0		  0
158	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Elf Helm"			       150	   435	     0	            100          379	    34			  75			 0			 0			   0	 		   0	  0		  0		  3		  0		  0		  0		  0
160	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Lord Helm"		       150	   417	     0	            100          379	    59			  15			 0			 0			   0	 		   0	  0		  0		  0		  0		  3		  0		  0
161	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Summon Helm"		       150	   421	     0	            100          379	    34			  11			 0			 0			   0	 		   0	  0		  0		  0		  0		  0		  3		  0
162	     2	    0	    2	    2	     1	          1	           0	      "Apocalypse Fighter Helm"		       150	   415	     0	            100          379	    71			  0			     0			 0			   0	 		   0	  0		  0		  0		  0		  0		  0		  3
//============================================================================================================================================================================================================================================================================================================================================================
//Sets Primordial Lightning
//============================================================================================================================================================================================================================================================================================================================================================
163	     2	    0	    2	    2	     1	          1	           0	      "Lightning Wizard Helm"		       150	   419	     0	            100          379	    42			  14			 0			 0			   0	 		   0	  3		  0		  0		  0		  0		  0		  0
164	     2	    0	    2	    2	     1	          1	           0	      "Lightning Knight Helm"		       150	   441	     0	            100          379	    145			  42			 0			 0			   0	 		   0	  0		  3		  0		  0		  0		  0		  0
165	     2	    0	    2	    2	     1	          1	           0	      "Lightning Elf Helm"			       150	   435	     0	            100          379	    34			  75			 0			 0			   0	 		   0	  0		  0		  3		  0		  0		  0		  0
167	     2	    0	    2	    2	     1	          1	           0	      "Lightning Lord Helm"		      	   150	   417	     0	            100          379	    59			  15			 0			 0			   0	 		   0	  0		  0		  0		  0		  3		  0		  0
168	     2	    0	    2	    2	     1	          1	           0	      "Lightning Summon Helm"		       150	   421	     0	            100          379	    34			  11			 0			 0			   0	 		   0	  0		  0		  0		  0		  0		  3		  0
169	     2	    0	    2	    2	     1	          1	           0	      "Lightning Fighter Helm"		       150	   415	     0	            100          379	    71			  0			     0			 0			   0	 		   0	  0		  0		  0		  0		  0		  0		  3
//============================================================================================================================================================================================================================================================================================================================================================
//Customs Items MuOnline
//============================================================================================================================================================================================================================================================================================================================================================
300      2      0       2       2        1            1            0          "Imperial Dragon Helm[Z-1]"         111     63        0              86           380        222            32            0           0             0                   0      0       1       0       0       0       0       0
301      2      0       2       2        1            1            0          "Brave Helm(380"                     107     51        0              86           380        74             162           0           0             0                   0      0       1       0       0       0       0       0
304      2      0       2       2        1            1            0          "Seraphim Helm(380)"                 111     50        0              86           380        55             197           0           0             0                   0      0       0       1       0       0       0       0
305      2      0       2       2        1            1            0          "faith Helm(380)"                    104     44        0              86           380        32             29            138         0             0                   0      0       0       1       0       0       0       0
306      2      0       2       2        1            1            0          "Royal Mask(380)"                    111     44        0              86           380        105            38            0           0             0                   0      0       0       0       0       1       0       0
307      2      0       2       2        1            1            0          "Hades Helm(380)"                    109     41        0              86           380        60             15            181         0             0                   0      1       0       0       0       0       0       0
308      2	    0	    2	    2	     1	          1	           0	      "Queen Helm(380)"			      	   111	   80	     0	            86	         380	    57	           15	         182	     0	           0	               0	  0	  	  0	  	  0	 	  0	 	  0	  	  2	  	  0
309      2      0       2       2        1            1            0          "New Dragon Helm"                    111     63        0              86           380        222            32            0           0             0                   0      0       1       0       0       0       0       0
310      2      0       2       2        1            1            0          "New Guardian Helm"                  111     63        0              86           380        222            32            0           0             0                   0      0       0       1       0       0       0       0
311      2      0       2       2        1            1            0          "New Legendary Helm"                 111     63        0              86           380        222            32            0           0             0                   0      1       0       0       0       0       0       0
end

8
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        3      0       2       2        1            1            1          "Bronze Armor"                       18      14        0              34           0          80            20             0           0             0               0      0       1       0       1       1       0       0
1        3      0       2       3        1            1            1          "Dragon Armor"                       59      37        0              68           0          120           30             0           0             0               0      0       1       0       1       0       0       0
2        3      0       2       2        1            1            1          "Pad Armor"                          10      7         0              28           0          30            0              0           0             0               0      1       0       0       1       0       0       0
3        3      0       2       2        1            1            1          "Legendary Armor"                    56      22        0              42           0          40            0              0           0             0               0      1       0       0       1       0       0       0
4        3      0       2       2        1            1            1          "Bone Armor"                         22      13        0              30           0          40            0              0           0             0               0      1       0       0       1       0       0       0
5        3      0       2       3        1            1            1          "Leather Armor"                      10      10        0              30           0          80            0              0           0             0               0      0       1       0       1       1       0       0
6        3      0       2       2        1            1            1          "Scale Armor"                        28      18        0              40           0          110           0              0           0             0               0      0       1       0       1       1       0       1
7        3      0       2       3        1            1            1          "Sphinx Armor"                       38      17        0              36           0          40            0              0           0             0               0      1       0       0       1       0       0       0
8        3      0       2       2        1            1            1          "Brass Armor"                        38      22        0              44           0          100           30             0           0             0               0      0       1       0       1       0       0       1
9        3      0       2       2        1            1            1          "Plate Armor"                        48      30        0              50           0          130           0              0           0             0               0      0       1       0       1       0       0       1
10       3      0       2       2        1            1            1          "Vine Armor"                         10      8         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0       0
11       3      0       2       2        1            1            1          "Silk Armor"                         20      12        0              26           0          30            70             0           0             0               0      0       0       1       0       0       0       0
12       3      0       2       2        1            1            1          "Wind Armor"                         32      16        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0       0
13       3      0       2       2        1            1            1          "Spirit Armor"                       44      21        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0       0
14       3      0       2       2        1            1            1          "Guardian Armor"                     57      29        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0       0
15       3      0       2       3        1            1            1          "Storm Crow Armor"                   80      44        0              80           0          150           70             0           0             0               0      0       0       0       1       0       0       0
16       3      0       2       3        1            1            1          "Black Dragon Armor"                 90      48        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0       0
17       3      0       2       3        1            1            1          "Dark Phoenix Armor"                 100     63        0              80           0          214           65             0           0             0               0      0       2       0       0       0       0       0
18       3      0       2       3        1            1            1          "Grand Soul Armor"                   91      33        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0       0
19       3      0       2       2        1            1            1          "Divine Armor"                       92      44        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0       0
